Keyword,Cluster,Sous-Cluster,Intent,Volume,Trend,KD,CPC_EUR,Updated,Priorite_SEO
pompe a chaleur,Pompe à chaleur,Générique,Informational/Transactional,60500,stable,39,1.94,2 weeks,Tier 1 - Pilier
pac,Pompe à chaleur,Générique,Informational,33100,stable,55,0.60,2 weeks,Tier 1 - Pilier
pompe à chaleur,Pompe à chaleur,Générique,Informational,18100,stable,49,1.59,2 weeks,Tier 1 - Pilier
pompe à chaleur air eau,Pompe à chaleur,Air-Eau,Commercial,6600,stable,38,1.67,2 weeks,Tier 1 - Pilier
pac air air,Pompe à chaleur,Air-Air,Informational/Commercial,4400,stable,35,1.25,2 weeks,Tier 1 - Pilier
pac air eau,Pompe à chaleur,Air-Eau,Commercial,4400,stable,34,1.71,2 weeks,Tier 1 - Pilier
pompe à chaleur air air,Pompe à chaleur,Air-Air,Commercial,4400,stable,31,1.24,2 weeks,Tier 1 - Pilier
prix pompe à chaleur,Pompe à chaleur,Prix,Commercial,3600,stable,34,1.16,2 weeks,Tier 1 - Conversion
chaudière biomasse,Chaudière,Biomasse,Informational/Transactional,2900,stable,19,0.49,2 weeks,Tier 1 - Quick win
chaudière gaz condensation,Chaudière,Condensation,Commercial,1600,stable,32,0.92,1 month,Tier 1 - Pilier
pac réversible,Pompe à chaleur,Réversible,Informational,1300,stable,17,1.20,1 month,Tier 1 - Quick win
remplacement chaudière gaz,Chaudière,Remplacement,Informational/Commercial,1000,stable,22,1.96,1 month,Tier 1 - Conversion
chaudière condensation,Chaudière,Condensation,Commercial,880,stable,30,1.13,1 month,Tier 2
pac eau eau,Pompe à chaleur,Eau-Eau,Commercial,720,stable,21,0.88,1 month,Tier 2
pompe à chaleur eau eau,Pompe à chaleur,Eau-Eau,Commercial,720,stable,18,0.84,1 month,Tier 2 - Quick win
pac géothermique,Pompe à chaleur,Géothermie,Commercial,590,stable,23,0.87,1 month,Tier 2
dimensionnement pompe à chaleur,Pompe à chaleur,Technique,Informational,480,stable,19,0.64,1 month,Tier 2 - Quick win
pompe à chaleur haute température,Pompe à chaleur,Haute Température,Informational,480,stable,12,1.03,1 month,Tier 2 - Quick win
cop pompe à chaleur,Pompe à chaleur,Technique,Informational,390,stable,33,0.25,1 month,Tier 2
pac haute température,Pompe à chaleur,Haute Température,Informational/Commercial,390,stable,17,0.98,1 month,Tier 2 - Quick win
cee pompe à chaleur,CEE & Aides,PAC,Commercial,260,stable,20,2.86,2 weeks,Tier 2 - High CPC
scop pac,Pompe à chaleur,Technique,Informational,210,stable,25,0.20,4 weeks,Tier 3
bat-th-142,CEE & Aides,Fiches CEE,Informational,170,stable,11,0.00,1 month,Tier 3 - Niche B2B
pompe à chaleur copropriété,Pompe à chaleur,Copropriété,Informational,170,stable,11,1.53,1 month,Tier 3 - B2B
pompe à chaleur industrielle,Pompe à chaleur,Industrielle,Informational,170,stable,30,1.59,1 month,Tier 3 - B2B
prix installation pac,Pompe à chaleur,Prix,Commercial,170,stable,28,1.67,2 weeks,Tier 3 - Conversion
bat-th-113,CEE & Aides,Fiches CEE,Informational,140,stable,15,0.00,1 month,Tier 3 - Niche B2B
chaudière biomasse industrielle,Chaudière,Biomasse,Informational,140,stable,7,0.79,1 month,Tier 3 - Quick win
pac industrielle,Pompe à chaleur,Industrielle,Informational/Commercial,140,stable,8,1.59,1 month,Tier 3 - Quick win
pompe à chaleur entreprise,Pompe à chaleur,B2B,Commercial,110,stable,16,3.56,1 month,Tier 3 - High CPC
prime cee pompe à chaleur,CEE & Aides,PAC,Informational,110,stable,23,2.65,1 month,Tier 3 - High CPC
bar-th-159,CEE & Aides,Fiches CEE,Informational,70,stable,13,1.59,4 weeks,Tier 3 - Niche
grossiste pompe à chaleur,Pompe à chaleur,B2B,Commercial,70,stable,11,0.00,2 weeks,Tier 3
pac haute temperature,Pompe à chaleur,Haute Température,Commercial,70,stable,15,0.97,3 weeks,Tier 3
géothermie professionnelle,Pompe à chaleur,Géothermie,n/a,50,n/a,n/a,0.00,n/a,Tier 4
pompe à chaleur prix usine,Pompe à chaleur,Prix,n/a,40,n/a,n/a,1.27,n/a,Tier 4
fiche cee pompe à chaleur,CEE & Aides,Fiches CEE,n/a,30,n/a,n/a,1.35,n/a,Tier 4
installation chaudière condensation,Chaudière,Condensation,n/a,30,n/a,n/a,1.69,n/a,Tier 4
pac air air cee,CEE & Aides,PAC,n/a,30,n/a,n/a,1.30,n/a,Tier 4
pompe à chaleur haute température industrielle,Pompe à chaleur,Haute Température,n/a,30,n/a,n/a,2.18,n/a,Tier 4 - High CPC
cee chaudière condensation,CEE & Aides,Chaudière,n/a,20,n/a,n/a,2.31,n/a,Tier 4 - High CPC
chaudière condensation copropriété,Chaudière,Condensation,n/a,20,n/a,n/a,0.00,n/a,Tier 4
chaudière haut rendement,Chaudière,Condensation,n/a,20,n/a,n/a,0.58,n/a,Tier 4
climatisation pac air air,Climatisation,PAC Air-Air,n/a,20,n/a,n/a,1.23,n/a,Tier 4
pompe à chaleur tertiaire,Pompe à chaleur,Tertiaire,n/a,20,n/a,n/a,0.85,n/a,Tier 4 - B2B
prime cee chaudière condensation,CEE & Aides,Chaudière,n/a,20,n/a,n/a,1.25,n/a,Tier 4
pac réhausse chaleur fatale,Pompe à chaleur,Chaleur Fatale,n/a,10,n/a,n/a,0.00,n/a,Tier 5 - Niche
pac hôtel,Pompe à chaleur,Tertiaire,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
pac tertiaire,Pompe à chaleur,Tertiaire,n/a,0,n/a,n/a,1.37,n/a,Tier 5 - Long tail
pompe à chaleur air eau industrielle,Pompe à chaleur,Industrielle,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
pompe à chaleur gymnase,Pompe à chaleur,Tertiaire,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
pompe à chaleur géothermique industrielle,Pompe à chaleur,Géothermie,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
pompe à chaleur piscine municipale,Pompe à chaleur,Collectivités,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
pompe à chaleur professionnelle,Pompe à chaleur,B2B,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
climatisation,Climatisation,Générique,Commercial,27100,stable,49,1.09,2 weeks,Tier 1 - Pilier
isolation thermique,Isolation,Générique,Informational,9900,stable,37,0.61,2 weeks,Tier 1 - Pilier
robinet thermostatique,Régulation,Robinet,Informational/Commercial,9900,stable,25,0.20,2 weeks,Tier 1 - Quick win
climatisation réversible,Climatisation,Réversible,Commercial,3600,stable,28,1.01,2 weeks,Tier 1 - Pilier
réseau de chaleur,Réseau de Chaleur,Générique,Informational,1600,stable,41,0.72,1 month,Tier 1
free cooling,Free Cooling,Générique,Informational,1000,stable,26,1.68,3 weeks,Tier 2
chaufferie biomasse,Chaudière,Biomasse,Informational,880,stable,23,0.30,1 month,Tier 2 - Quick win
froid commercial,Froid,Commercial,Commercial,590,stable,10,1.52,1 month,Tier 2 - Quick win
réseau de chaleur urbain,Réseau de Chaleur,Urbain,Informational,590,stable,31,0.70,1 month,Tier 2
climatisation professionnelle,Climatisation,B2B,Commercial,390,stable,16,2.48,3 weeks,Tier 2 - High CPC
froid industriel,Froid,Industriel,Informational,390,stable,20,1.94,1 month,Tier 2
groupe froid industriel,Froid,Industriel,Informational,210,stable,12,1.77,1 month,Tier 2 - Quick win
rafraîchissement adiabatique,Climatisation,Adiabatique,Informational,210,stable,25,0.75,2 weeks,Tier 2
rooftop climatisation,Climatisation,Rooftop,Informational,210,stable,10,2.47,1 month,Tier 2 - Quick win - High CPC
free cooling data center,Free Cooling,Data Center,Informational,170,stable,16,2.11,4 weeks,Tier 2 - High CPC
prime cee climatisation,CEE & Aides,Climatisation,Commercial,170,stable,17,1.52,3 weeks,Tier 2
prime cee isolation,CEE & Aides,Isolation,Commercial,140,stable,18,2.35,1 month,Tier 2 - High CPC
régulation chauffage,Régulation,Générique,Informational,140,stable,11,0.58,1 month,Tier 2 - Quick win
climatisation tertiaire,Climatisation,Tertiaire,Informational/Commercial,110,stable,9,1.36,3 weeks,Tier 3 - Quick win
système vrv,Climatisation,VRV/DRV,Informational,90,stable,30,0.00,1 month,Tier 3
cee isolation toiture,CEE & Aides,Isolation,Commercial,70,stable,19,1.65,2 weeks,Tier 3
climatisation bureaux,Climatisation,Tertiaire,Informational,70,stable,12,1.07,1 month,Tier 3 - Quick win
installation frigorifique industrielle,Froid,Industriel,Informational/Transactional,70,stable,6,0.00,1 month,Tier 3 - Quick win
système drv,Climatisation,VRV/DRV,Informational,70,stable,10,0.00,2 weeks,Tier 3 - Quick win
installation climatisation professionnelle,Climatisation,B2B,n/a,50,n/a,n/a,3.21,n/a,Tier 4 - High CPC
isolation thermique industrielle,Isolation,Industrielle,Commercial,50,stable,9,0.91,1 month,Tier 4 - Quick win
sous-station réseau de chaleur,Réseau de Chaleur,Sous-station,n/a,50,n/a,n/a,0.00,n/a,Tier 4
installation chaudière biomasse,Chaudière,Biomasse,n/a,40,n/a,n/a,0.00,n/a,Tier 4
raccordement réseau de chaleur,Réseau de Chaleur,Raccordement,n/a,40,n/a,n/a,0.00,n/a,Tier 4
climatisation commerce,Climatisation,Commerce,n/a,30,n/a,n/a,0.00,n/a,Tier 4
free cooling industriel,Free Cooling,Industriel,n/a,30,n/a,n/a,0.00,n/a,Tier 4
groupe froid co2,Froid,CO2,n/a,30,n/a,n/a,0.00,n/a,Tier 4
isolation collectivité,Isolation,Collectivité,n/a,30,n/a,n/a,0.00,n/a,Tier 4
isolation thermique copropriété,Isolation,Copropriété,n/a,30,n/a,n/a,0.00,n/a,Tier 4
loi de chauffe,Régulation,Loi de chauffe,n/a,30,n/a,n/a,0.00,n/a,Tier 4
régulation chauffage collectif,Régulation,Collectif,n/a,30,n/a,n/a,0.00,n/a,Tier 4
aide isolation entreprise,CEE & Aides,Isolation,n/a,20,n/a,n/a,0.94,n/a,Tier 4
centrale frigorifique co2,Froid,CO2,n/a,20,n/a,n/a,0.00,n/a,Tier 4
chambre froide co2,Froid,CO2,n/a,20,n/a,n/a,0.00,n/a,Tier 4
chaudière plaquettes forestières,Chaudière,Biomasse,n/a,20,n/a,n/a,0.23,n/a,Tier 4 - Niche
fluide frigorigène co2,Froid,CO2,n/a,20,n/a,n/a,0.00,n/a,Tier 4
installation frigorifique co2,Froid,CO2,n/a,20,n/a,n/a,0.00,n/a,Tier 4
maintenance groupe froid,Froid,Maintenance,n/a,20,n/a,n/a,2.08,n/a,Tier 4 - High CPC
optimisation chauffage,Régulation,Optimisation,n/a,20,n/a,n/a,0.87,n/a,Tier 4
prime cee chaudière biomasse,CEE & Aides,Chaudière,n/a,20,n/a,n/a,0.00,n/a,Tier 4
refroidissement naturel,Free Cooling,Générique,n/a,20,n/a,n/a,0.00,n/a,Tier 4
res-ch-104,CEE & Aides,Fiches CEE,n/a,20,n/a,n/a,0.00,n/a,Tier 4 - Niche B2B
isolation entrepôt,Isolation,Industrielle,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
isolation usine,Isolation,Industrielle,n/a,0,n/a,n/a,0.00,n/a,Tier 5 - Long tail
vmc double flux,VMC,Générique,Informational/Commercial,27100,stable,27,0.26,3 weeks,Tier 1 - Pilier
calorifugeage,Calorifugeage,Générique,Informational,3600,stable,28,0.45,2 weeks,Tier 1
ventilation mécanique contrôlée,VMC,Générique,Informational,1900,stable,32,0.22,1 month,Tier 1
calorifugeage tuyauterie,Calorifugeage,Tuyauterie,Informational,1000,stable,34,0.41,1 month,Tier 2
destratificateur,Destratificateur,Générique,Commercial,3600,stable,15,0.72,2 weeks,Tier 1 - Quick win
ventilation industrielle,Ventilation,Industrielle,Commercial,480,stable,24,1.65,3 weeks,Tier 2
vmc double flux haut rendement,VMC,Haut rendement,Commercial,480,stable,10,0.55,1 month,Tier 2 - Quick win
entretien vmc double flux,VMC,Maintenance,Informational,320,stable,19,0.46,2 weeks,Tier 2
matelas isolant,Isolation,Matelas,Commercial,260,stable,15,0.60,1 month,Tier 2 - Quick win
calorifugeage industriel,Calorifugeage,Industriel,Commercial,170,stable,22,1.21,1 month,Tier 3
bat-en-102,CEE & Aides,Fiches CEE,Informational,140,stable,15,0.00,3 weeks,Tier 3 - Niche
ind-ba-110,CEE & Aides,Fiches CEE,Informational,140,stable,13,1.20,1 month,Tier 3 - Niche
isolation tuyauterie,Calorifugeage,Tuyauterie,Informational,140,stable,23,0.27,1 month,Tier 3
bat-en-101,CEE & Aides,Fiches CEE,Informational,70,stable,18,4.20,1 month,Tier 3 - High CPC
bat-en-103,CEE & Aides,Fiches CEE,Informational,70,stable,9,0.00,4 weeks,Tier 3 - Quick win
cee vmc,CEE & Aides,VMC,Commercial,50,stable,15,1.43,1 month,Tier 3
centrale traitement air,Ventilation,CTA,Informational,50,stable,12,2.17,2 weeks,Tier 3 - High CPC
échangeur vmc double flux,VMC,Technique,Informational,50,stable,7,0.31,4 weeks,Tier 3 - Quick win
vmc double flux industrielle,VMC,Industrielle,n/a,50,n/a,n/a,0.71,n/a,Tier 4
bat-th-125,CEE & Aides,Fiches CEE,n/a,40,n/a,n/a,0.00,n/a,Tier 4 - Niche
calorifugeage copropriété,Calorifugeage,Copropriété,n/a,40,n/a,n/a,0.00,n/a,Tier 4
résistance thermique isolation,Isolation,Technique,n/a,40,n/a,n/a,0.29,n/a,Tier 4
vmc double flux tertiaire,VMC,Tertiaire,n/a,40,n/a,n/a,0.64,n/a,Tier 4
isolation bâtiment industriel,Isolation,Industrielle,n/a,30,n/a,n/a,1.77,n/a,Tier 4 - High CPC
isolation points singuliers,Isolation,Points singuliers,n/a,30,n/a,n/a,0.00,n/a,Tier 4
matelas isolant vanne,Isolation,Matelas,n/a,30,n/a,n/a,0.00,n/a,Tier 4
ventilation usine,Ventilation,Industrielle,n/a,30,n/a,n/a,0.00,n/a,Tier 4
calorifugeage prix,Calorifugeage,Prix,n/a,20,n/a,n/a,0.00,n/a,Tier 4
calorifugeage tertiaire,Calorifugeage,Tertiaire,n/a,20,n/a,n/a,0.00,n/a,Tier 4
matelas isolant industriel,Isolation,Matelas,n/a,20,n/a,n/a,0.00,n/a,Tier 4
obligation calorifugeage,Calorifugeage,Réglementation,n/a,20,n/a,n/a,0.00,n/a,Tier 4
performance isolation thermique,Isolation,Technique,n/a,20,n/a,n/a,0.24,n/a,Tier 4
prime cee calorifugeage,CEE & Aides,Calorifugeage,n/a,20,n/a,n/a,0.75,n/a,Tier 4
prime cee vmc double flux,CEE & Aides,VMC,n/a,20,n/a,n/a,1.31,n/a,Tier 4
rendement vmc double flux,VMC,Technique,n/a,20,n/a,n/a,0.00,n/a,Tier 4
aide calorifugeage,CEE & Aides,Calorifugeage,n/a,0,n/a,n/a,0.00,n/a,Tier 5
calorifugeage point singulier,Calorifugeage,Points singuliers,n/a,0,n/a,n/a,0.00,n/a,Tier 5
calorifugeage réseau,Calorifugeage,Réseau,n/a,0,n/a,n/a,0.00,n/a,Tier 5
calorifugeage vapeur,Calorifugeage,Vapeur,n/a,0,n/a,n/a,0.00,n/a,Tier 5
déshumidificateur,Déshumidification,Générique,Commercial,27100,stable,44,0.32,2 weeks,Tier 1 - Pilier
gtb,GTB/GTC,Générique,Informational,5400,stable,33,0.90,3 weeks,Tier 1 - Pilier
gtc,GTB/GTC,Générique,Informational,4400,stable,23,1.14,2 weeks,Tier 1 - Pilier
air comprimé,Air Comprimé,Générique,Commercial,2400,stable,19,0.54,2 weeks,Tier 1
variateur de vitesse,Variateur,Générique,Informational,2400,stable,14,0.28,2 weeks,Tier 1 - Quick win
compresseur air,Air Comprimé,Compresseur,Informational,1600,stable,18,0.30,1 month,Tier 1 - Quick win
variateur de fréquence,Variateur,Générique,Commercial,1600,stable,13,0.43,1 month,Tier 1 - Quick win
déshumidificateur professionnel,Déshumidification,B2B,Commercial,1300,stable,15,0.84,3 weeks,Tier 1 - Quick win
gtb gtc,GTB/GTC,Différenciation,Informational,880,stable,38,0.72,1 month,Tier 2
déshumidificateur industriel,Déshumidification,Industriel,Commercial,320,stable,13,0.90,1 month,Tier 2 - Quick win
vev,Variateur,Générique,Navigational,320,stable,28,0.00,1 month,Tier 2
déshumidificateur piscine,Déshumidification,Piscine,Informational,260,stable,12,1.34,2 weeks,Tier 2 - Quick win
vanne équilibrage,Hydraulique,Équilibrage,Informational,210,stable,12,0.00,1 month,Tier 2 - Quick win
réseau air comprimé,Air Comprimé,Réseau,Informational,170,stable,8,0.59,3 weeks,Tier 3 - Quick win
variateurs de vitesse,Variateur,Générique,Informational,170,stable,22,0.28,4 weeks,Tier 3
air comprimé industriel,Air Comprimé,Industriel,Commercial,110,stable,12,1.67,1 month,Tier 3 - Quick win
ind-ut-102,CEE & Aides,Fiches CEE,Informational,110,stable,13,0.00,3 weeks,Tier 3 - Niche
moteur ie5,Moteur HE,IE5,Informational/Commercial,110,stable,9,1.18,1 month,Tier 3 - Quick win
sécheur air comprimé,Air Comprimé,Sécheur,Informational/Transactional,110,stable,8,0.54,1 month,Tier 3 - Quick win
moteur ie4,Moteur HE,IE4,Informational,90,stable,11,0.94,1 month,Tier 3 - Quick win
équilibrage hydraulique,Hydraulique,Équilibrage,Informational,70,stable,18,0.00,4 weeks,Tier 3
brasseur air industriel,Destratificateur,Industriel,n/a,40,n/a,n/a,1.02,n/a,Tier 4
compresseur à vitesse variable,Air Comprimé,Variable,n/a,40,n/a,n/a,1.96,n/a,Tier 4 - High CPC
ind-ut-103,CEE & Aides,Fiches CEE,n/a,40,n/a,n/a,0.00,n/a,Tier 4 - Niche
audit air comprimé,Air Comprimé,Audit,n/a,30,n/a,n/a,0.00,n/a,Tier 4
destratificateur tertiaire,Destratificateur,Tertiaire,n/a,30,n/a,n/a,1.09,n/a,Tier 4
équilibrage réseau chauffage,Hydraulique,Équilibrage,n/a,30,n/a,n/a,0.00,n/a,Tier 4
destratificateur air,Destratificateur,Générique,n/a,20,n/a,n/a,0.00,n/a,Tier 4
destratificateur prix,Destratificateur,Prix,n/a,20,n/a,n/a,0.56,n/a,Tier 4
déshumidificateur agricole,Déshumidification,Agricole,n/a,20,n/a,n/a,0.87,n/a,Tier 4
détection fuite air comprimé,Air Comprimé,Fuite,n/a,20,n/a,n/a,1.11,n/a,Tier 4
fuite air comprimé,Air Comprimé,Fuite,n/a,20,n/a,n/a,0.00,n/a,Tier 4
installation variateur de vitesse,Variateur,Installation,n/a,20,n/a,n/a,0.00,n/a,Tier 4
optimisation air comprimé,Air Comprimé,Optimisation,n/a,20,n/a,n/a,0.00,n/a,Tier 4
prime cee destratificateur,CEE & Aides,Destratificateur,n/a,20,n/a,n/a,0.93,n/a,Tier 4
prime cee variateur de vitesse,CEE & Aides,Variateur,n/a,20,n/a,n/a,0.00,n/a,Tier 4
prix déshumidificateur professionnel,Déshumidification,Prix,n/a,20,n/a,n/a,0.38,n/a,Tier 4
remplacement moteur électrique,Moteur HE,Remplacement,n/a,20,n/a,n/a,0.00,n/a,Tier 4
variateur de vitesse prix,Variateur,Prix,n/a,20,n/a,n/a,0.26,n/a,Tier 4
variateur vitesse pompe,Variateur,Pompe,n/a,20,n/a,n/a,0.00,n/a,Tier 4
variateur vitesse ventilateur,Variateur,Ventilateur,n/a,20,n/a,n/a,0.00,n/a,Tier 4
destratificateur atelier,Destratificateur,Atelier,n/a,10,n/a,n/a,0.00,n/a,Tier 5
destratificateur gymnase,Destratificateur,Gymnase,n/a,10,n/a,n/a,0.00,n/a,Tier 5
régulation hydraulique,Hydraulique,Régulation,n/a,10,n/a,n/a,0.00,n/a,Tier 5
cpe,CPE,Générique,Informational,14800,stable,34,0.47,2 weeks,Tier 1 - Pilier
audit énergétique,Audit Énergétique,Générique,Commercial,9900,stable,54,1.30,2 weeks,Tier 1 - Pilier
audit energetique,Audit Énergétique,Générique,Commercial,5400,stable,56,1.30,2 weeks,Tier 1 - Pilier
décret bacs,GTB/GTC,Décret BACS,Commercial,3600,stable,34,0.96,2 weeks,Tier 1 - Pilier
audit énergétique obligatoire,Audit Énergétique,Obligatoire,Commercial,2900,stable,40,0.49,2 weeks,Tier 1
audit énergétique copropriété,Audit Énergétique,Copropriété,Commercial,1000,stable,30,1.09,1 month,Tier 2
audit énergétique prix,Audit Énergétique,Prix,Informational,1000,stable,35,0.84,1 month,Tier 2
rénovation globale,Rénovation,Globale,Informational,1000,stable,50,2.54,1 month,Tier 2 - High CPC
audit énergétique 2025,Audit Énergétique,2025,Informational/Commercial,880,stable,15,0.67,1 month,Tier 2 - Quick win
audit énergétique réglementaire,Audit Énergétique,Réglementaire,Commercial,720,stable,34,1.21,1 month,Tier 2
audit énergétique entreprise,Audit Énergétique,Entreprise,Commercial,480,stable,29,2.83,1 month,Tier 2 - High CPC
cout audit énergétique,Audit Énergétique,Prix,Informational,480,stable,29,0.86,1 month,Tier 2
rénovation énergétique copropriété,Rénovation,Copropriété,Informational,480,stable,23,0.79,1 month,Tier 2
